Región,"Parque, Monumento, Reserva",Parque,Lugar,Emblema,Fauna y/o flora y/o estructura en emblema
Región Centro,Parque,Parque Nacional Campos del Tuyú,Provincia de Buenos Aires,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_campos_del_tuyu.png,venado de las pampas 
Región Centro,Parque,Parque Nacional Ciervo de los Pantanos,Provincia de Buenos Aires,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_ciervo_de_los_pantanos.png,"ciervo de los pantanos (Blastocerus dichotomus), el mayor cérvido sudamericano, y el tala (Celtis ehrenbergiana)"
Región Centro,Parque,Parque Nacional Quebrada del Condorito,Provincia de Córdoba,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_quebrada_del_condorito.png," lagarto verde de Achala o lagarto achaleño, cóndor y tabaquillo (Polylepis australis)"
Región Centro,Parque,Parque Nacional Traslasierra,Provincia de Córdoba,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_traslasierra.png,boa arcoíris chaqueña y horco quebracho o quebracho de la sierra
Región NEA,Parque,Parque Nacional Mburucuyá,Provincia de Corrientes,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_mburucuya.png,yacaré negro y mburucuyá (Passiflora caerulea)
Región NEA,Parque,Parque Nacional Iberá,Provincia de Corrientes,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_ibera.png,yetapá de collar (Alectrurus risora) 
Región Centro,Parque,Parque Nacional El Palmar,Provincia de Entre Ríos,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_el_palmar.png,vizcacha y yatay (Butia yatay)
Región Centro,Parque,Parque Nacional Pre-Delta,Provincia de Entre Ríos,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_pre-delta.png,martín pescador grande y sauces
Región NOA,Reserva,Reserva Natural Formosa,Provincia de Formosa,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_rn_formosa.png," tatú carreta (Priodontes maximus), el armadillo viviente más grande del mundo, y chaguar"
Región NEA,Parque,Parque Nacional Río Pilcomayo,Provincia de Formosa,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_rio_pilcomayo.png,"aguará guazú (Chrysocyon brachyurus), el zorro más grande de nuestro país, y caranday"
Región NOA,Parque,Parque Nacional Calilegua,Provincia de Jujuy,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_calilegua.png,burgo y jacarandá
Región NOA,Monumento,Monumento Natural Laguna de los Pozuelos,Provincia de Jujuy,https://www.argentina.gob.ar/sites/default/files/emblema_ficha_-_mn_laguna_de_los_pozuelos.png,parina chica (especie de flamenco)
Región Patagonia,Parque,Parque Nacional Lihué Calel,Provincia de La Pampa,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_lihue_calel.png,gallito copetón y margarita pampeana (flor provincial de La Pampa)
Región Centro,Parque,Parque Nacional Talampaya,Provincia de La Rioja,https://www.argentina.gob.ar/sites/default/files/pn_talampaya_-_emblema_fichas.png,mara
Región NEA,Parque,Parque Nacional Iguazú,Provincia de Misiones,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_iguazu.png,vencejo de cascada
Región NEA,Reserva,Reserva Natural Estricta San Antonio,Provincia de Misiones,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_rne_san_antonio.png,"loro charao y pino Paraná, pino misionero o araucaria misionera (Araucaria angustifolia)"
Región NOA,Parque,Parque Nacional Baritú,Provincia de Salta,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_baritu.png,"yaguareté (Panthera onca), el mayor felino de las Américas, y lapacho amarillo"
Región NOA,Reserva,Reserva Nacional El Nogalar de Los Toldos,Provincia de Salta,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_rn_el_nogalar_de_los_toldos.png,ardilla roja y nogal
Región NOA,Parque,Parque Nacional El Rey,Provincia de Salta,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_el_rey.png,"tapir (Tapirus terrestris), el mayor mamífero terrestre de América del Sur, y cedro tucumano"
Región NOA,Parque,Parque Nacional Los Cardones,Provincia de Salta,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_los_cardones.png,carpintero andino o yasto y cardones o pasacanas
Región NOA,Reserva,Reserva Nacional Pizarro,Provincia de Salta,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_rn_pizarro.png,oso melero o tamanduá y lapacho rosado
Región Centro,Parque,Parque Nacional San Guillermo,Provincia de San Juan,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_san_guillermo.png,"vicuña (Vicugna vicugna), el más pequeño de los camélidos"
Región Centro,Parque,Parque Nacional El Leoncito,Provincia de San Juan,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_el_leoncito.png,suri cordillerano o ñandú petiso y jarillas (Larrea spp.)
Región Centro,Parque,Parque Nacional Sierra de las Quijadas,Provincia de San Luis,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_sierra_de_las_quijadas.png,"tortuga terrestre (Chelonoidis chilensis), la chica (Ramorinoa girolae, es un arbusto) yvencejo blanco"
Región Patagonia Austral,Parque,Parque Nacional Los Glaciares,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_los_glaciares.png,"huemul, glaciar Perito Moreno y el cerro Chaltén"
Región Patagonia Austral,Parque,Parque Nacional Perito Moreno,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_perito_moreno.png,huemul y lenga
Región Patagonia Austral,Parque,Parque Nacional Patagonia,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_ficha_-_pn_patagonia.png,macá tobiano (Podiceps gallardoi)
Región Patagonia Austral,Parque,Parque Nacional Bosques Petrificados de Jaramillo,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_bosques_petrificados_de_jaramillo.png,"guanaco (Lama guanicoe), el camélido más grande de Sudamérica,  troncos fósiles de araucarias y cerro Madre e Hija"
Región Patagonia Austral,Parque,Parque Nacional Monte León,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_monte_leon.png,"pingüino patagónico o de Magallanes, molle patagónico (Schinus polygama) y acantilados"
Región Patagonia Austral,Parque,Parque Interjurisdiccional Marino Makenke,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pim_makenke.png,elefante marino
Región Patagonia Austral,Parque,Parque Interjurisdiccional Marino Isla Pingüino,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pim_isla_pinguino.png,pingüino penacho amarillo y antigüo faro
Región Centro,Parque,Parque Nacional Islas de Santa Fe,Provincia de Santa Fe,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_islas_de_santa_fe.png,"carpincho, el roedor más grande del mundo, e irupé (Victoria cruziana)"
Región NOA,Parque,Parque Nacional Copo,Provincia de Santiago del Estero,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_copo.png,"chancho quimilero y quimil (Opuntia quimilo), cactus con forma de árbol"
Región Patagonia Austral,Parque,Parque Nacional Tierra del Fuego,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_tierra_del_fuego.png,caranca
Región Patagonia Austral,Reserva,Reserva Natural Silvestre Isla de los Estados,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_rns_isla_de_los_estados.png,pingüino rey y el “faro del fin del mundo”
Región NEA,Parque,Parque Nacional Chaco,Provincia del Chaco,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_chaco.png,"carayá (Alouatta caraya), mono de mayor tamaño de nuestro país, y quebracho colorado chaqueño"
Región NEA,Reserva,Reserva Natural Educativa Colonia Benítez,Provincia del Chaco,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_rne_colonia_benitez.png,urraca morada y espina de corona
Región NEA,Parque,Parque Nacional El Impenetrable,Provincia del Chaco,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_el_impenetrable.png,oso hormiguero o yurumí y algarrobo negro
Región Patagonia,Parque,Parque Nacional Lago Puelo,Provincia del Chubut,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_lago_puelo.png,chucao (Scelorchilus rubecula) y avellano o guevín
Región Patagonia,Parque,Parque Nacional Los Alerces,Provincia del Chubut,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_los_alerces.png,"pudú (Pudu puda), uno de los ciervos más pequeños del mundo, y alerce"
Región Patagonia,Parque,Parque Interjurisdiccional Marino Costero Patagonia Austral,Provincia del Chubut,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pimc_patagonia_austral.png,quetro de cabeza blanca y faro
Región Patagonia,Parque,Parque Nacional Los Arrayanes,Provincia del Neuquén,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_los_arrayanes.png,"también denominado quetri (Luma apiculata), el arrayán del sur "
Región Patagonia,Parque,Parque Nacional Lanín,Provincia del Neuquén,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_lanin.png, cóndor andino y araucaria o pehuén
Región Patagonia,Parque,Parque Nacional Laguna Blanca,Provincia del Neuquén,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_laguna_blanca.png,cisne de cuello negro
Región NOA,Parque,Parque Nacional Aconquija,Provincia del Tucumán,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_aconquija.png,monterita canela o monterita serrana
Región Patagonia,Parque,Parque Nacional Nahuel Huapi,Provincias de Río Negro y Neuquén,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_nahuel_huapi.png,"huillín (Lontra provocax), nutria exclusiva de la región andinopatagónica"